,features,f_coef
695,and most of,-0.05614008077817195
696,and move,0.038214525794318006
697,and moved,0.0007098825915621307
698,and my,0.04117554496944097
699,and my brother,-0.025955066448451896
700,and my dad,0.004927119375239193
701,and my depression,-0.013836814262863319
702,and my family,-0.0067155832995721
703,and my life,-0.008721358513106634
704,and my mom,0.020039682987267167
705,and my mother,-0.0001222220047732254
706,and my parents,-0.004897260436881332
707,and my sister,0.010230688363270329
708,and myself,-0.020643937937212465
709,and need,-0.021496605592577198
710,and need to,-0.0003552539234004141
711,and never,0.07930740554530291
712,and new,0.0014058889564531254
713,and no,0.03551639297871206
714,and no one,0.0052056796723172725
715,and nobody,0.033295285934021535
716,and not,-0.01208518867192814
717,and nothing,-0.006186246030021802
718,and now,0.0800018060747906
719,and now have,-0.0016144957968106202
720,and now im,-0.014109633394731369
721,and now that,0.009569742308447657
722,and of,-0.04457542698623143
723,and of course,-0.012738986408075472
724,and off,-0.017139497526804343
725,and often,0.03695225887573343
726,and on,-0.08240321255833942
727,and once,0.019364699084908114
728,and one,-0.010663053725604055
729,and one of,-0.05393662561266552
730,and only,-0.0007072691020106365
731,and other,-0.04107638970210961
732,and others,0.019620381171617865
733,and our,-0.005627708163118233
734,and out,-0.045722322224719614
735,and out of,-0.03432295268090946
736,and over,0.0063305033735161845
737,and over again,0.032315324368819606
738,and pain,0.008527272840759206
739,and people,-0.009145766452975145
740,and physically,-0.02378204855769398
741,and pretend,-0.012228098630340162
742,and pretty,-0.01437519143166394
743,and probably,0.01182752376484723
744,and put,0.005093260984872826
745,and realized,0.02133572605651619
746,and really,-0.006723467757239104
747,and really dont,0.023464702702358068
748,and right,-0.009141473124415399
749,and sad,0.0024214606533774306
750,and said,0.00228548978297302
751,and saw,-0.014999933278801482
752,and say,-0.02783383476937642
753,and saying,-0.009924301858095801
754,and says,0.00015262359970483812
755,and scared,-0.03193606347838689
756,and see,0.011155850411188295
757,and seeing,0.014917213656105176
758,and self,-0.015807929555685916
759,and she,0.025129765766808483
760,and she is,-0.004766542566718812
761,and she said,-0.0354452364444252
762,and she told,-0.02058242029904636
763,and she was,0.010002065653290173
